Source IP,Destination IP,Source Port,Destination Port,Protocol,Timestamp,SYN Flag Count,ACK Flag Count,Label
172.16.0.5,192.168.50.1,53058,53058,6,2018-12-01 13:30:30.741451,0,1,Syn
172.16.0.5,192.168.50.1,32237,32237,6,2018-12-01 13:30:30.741452,0,1,Syn
172.16.0.5,192.168.50.1,60495,9840,6,2018-12-01 13:30:30.741501,0,1,Syn
172.16.0.5,192.168.50.1,59724,59724,6,2018-12-01 13:30:30.741563,0,1,Syn
172.16.0.5,192.168.50.1,60496,32538,6,2018-12-01 13:30:30.741565,0,1,Syn
172.16.0.5,192.168.50.1,64360,3944,6,2018-12-01 13:30:30.741614,0,1,Syn
172.16.0.5,192.168.50.1,60497,16439,6,2018-12-01 13:30:30.741672,0,1,Syn
172.16.0.5,192.168.50.1,60498,37911,6,2018-12-01 13:30:30.741723,0,1,Syn
172.16.0.5,192.168.50.1,60499,61011,6,2018-12-01 13:30:30.741726,0,1,Syn
172.16.0.5,192.168.50.1,51442,51442,6,2018-12-01 13:30:30.741800,0,1,Syn
172.16.0.5,192.168.50.1,60500,53674,6,2018-12-01 13:30:30.741802,0,1,Syn
172.16.0.5,192.168.50.1,60501,9840,6,2018-12-01 13:30:30.741851,0,1,Syn
172.16.0.5,192.168.50.1,60502,20687,6,2018-12-01 13:30:30.741911,0,1,Syn
52.43.17.8,192.168.50.8,443,59972,6,2018-12-01 13:30:30.741913,0,0,BENIGN
172.16.0.5,192.168.50.1,772,938,6,2018-12-01 13:30:30.742051,0,1,Syn
172.16.0.5,192.168.50.1,29903,29903,6,2018-12-01 13:30:30.742053,0,1,Syn
192.168.50.8,52.43.17.8,59972,443,6,2018-12-01 13:30:30.742102,0,0,BENIGN
172.16.0.5,192.168.50.1,60503,14893,6,2018-12-01 13:30:30.742312,0,1,Syn
172.16.0.5,192.168.50.1,60504,39415,6,2018-12-01 13:30:30.742314,0,1,Syn
172.16.0.5,192.168.50.1,60505,39415,6,2018-12-01 13:30:30.742363,0,1,Syn
172.16.0.5,192.168.50.1,60506,39070,6,2018-12-01 13:30:30.742426,0,1,Syn
172.16.0.5,192.168.50.1,60507,53534,6,2018-12-01 13:30:30.742768,0,1,Syn
172.16.0.5,192.168.50.1,60508,44832,6,2018-12-01 13:30:30.742913,0,1,Syn
